molIdx	molSmiles	molregno	validMol	scafSmiles	inDB	scafID	pScore	inDrug	substancesTested	substancesActive	assaysTested	assaysActive	samplesTested	samplesActive
225	COc1ccccc1C1=C(Nc2ccc(O)c(Cl)c2)C(=O)NC1=O	262939	True	O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1	True	86824	22.0	False	2	2	484	25	485	25
225	COc1ccccc1C1=C(Nc2ccc(O)c(Cl)c2)C(=O)NC1=O	262939	True	O=C1C=C(Nc2ccccc2)C(=O)N1	True	10527	155.0	False	33	32	795	144	18327	321
225	COc1ccccc1C1=C(Nc2ccc(O)c(Cl)c2)C(=O)NC1=O	262939	True	O=C1C=C(c2ccccc2)C(=O)N1	True	3034	282.0	False	10	10	711	116	4938	224
225	COc1ccccc1C1=C(Nc2ccc(O)c(Cl)c2)C(=O)NC1=O	262939	True	O=C1C=CC(=O)N1	True	423	536.0	False	197	181	820	367	101348	2385
226	O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1ccc(O)c(Cl)c1	262940	True	O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1	True	86824	22.0	False	2	2	484	25	485	25
226	O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1ccc(O)c(Cl)c1	262940	True	O=C1C=C(Nc2ccccc2)C(=O)N1	True	10527	155.0	False	33	32	795	144	18327	321
226	O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1ccc(O)c(Cl)c1	262940	True	O=C1C=C(c2ccccc2)C(=O)N1	True	3034	282.0	False	10	10	711	116	4938	224
226	O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1ccc(O)c(Cl)c1	262940	True	O=C1C=CC(=O)N1	True	423	536.0	False	197	181	820	367	101348	2385
227	O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1cccc(Cl)c1	263351	True	O=C1NC(=O)C(c2ccccc2)=C1Nc1ccccc1	True	86824	22.0	False	2	2	484	25	485	25
227	O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1cccc(Cl)c1	263351	True	O=C1C=C(Nc2ccccc2)C(=O)N1	True	10527	155.0	False	33	32	795	144	18327	321
227	O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1cccc(Cl)c1	263351	True	O=C1C=C(c2ccccc2)C(=O)N1	True	3034	282.0	False	10	10	711	116	4938	224
